Code commune,Commune,Libellé région,Libellé typologie
01001,L'Abergement-Clémenciat,Auvergne-Rhône-Alpes,Communes peu denses
01002,L'Abergement-de-Varey,Auvergne-Rhône-Alpes,Communes très peu denses
01004,Ambérieu-en-Bugey,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
01005,Ambérieux-en-Dombes,Auvergne-Rhône-Alpes,Communes peu denses
01006,Ambléon,Auvergne-Rhône-Alpes,Communes très peu denses
01007,Ambronay,Auvergne-Rhône-Alpes,Communes peu denses
01008,Ambutrix,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
01009,Andert-et-Condon,Auvergne-Rhône-Alpes,Communes peu denses
01010,Anglefort,Auvergne-Rhône-Alpes,Communes peu denses
01011,Apremont,Auvergne-Rhône-Alpes,Communes peu denses
01012,Aranc,Auvergne-Rhône-Alpes,Communes très peu denses
01013,Arandas,Auvergne-Rhône-Alpes,Communes très peu denses
01014,Arbent,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
01015,Arboys en Bugey,Auvergne-Rhône-Alpes,Communes très peu denses
01016,Arbigny,Auvergne-Rhône-Alpes,Communes peu denses
01017,Argis,Auvergne-Rhône-Alpes,Communes peu denses
01019,Armix,Auvergne-Rhône-Alpes,Communes très peu denses
01021,Ars-sur-Formans,Auvergne-Rhône-Alpes,Communes peu denses
01022,Artemare,Auvergne-Rhône-Alpes,Communes peu denses
01023,Asnières-sur-Saône,Auvergne-Rhône-Alpes,Communes très peu denses
01024,Attignat,Auvergne-Rhône-Alpes,Communes peu denses
01025,Bâgé-Dommartin,Auvergne-Rhône-Alpes,Communes peu denses
01026,Bâgé-le-Châtel,Auvergne-Rhône-Alpes,Communes peu denses
01027,Balan,Auvergne-Rhône-Alpes,Communes peu denses
01028,Baneins,Auvergne-Rhône-Alpes,Communes peu denses
01029,Beaupont,Auvergne-Rhône-Alpes,Communes peu denses
01030,Beauregard,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
01031,Bellignat,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
01032,Béligneux,Auvergne-Rhône-Alpes,Communes peu denses
